Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
153,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.264,,133.80,69.12,1.00,,1.64,,,,,
154,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.529,,75.79,105.25,2.00,,1.15,,,,,
155,100.00,1.50,4.00,2.50,4.00,2.00,10.00,1.058,,122.74,112.93,2.00,,1.42,,,,,
156,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.066,,9.64,95.88,1.00,,1.42,,,,,
157,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.132,,46.82,71.33,1.00,,1.24,,,,,
158,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.264,,157.05,60.04,1.00,,2.20,,,,,
159,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.529,,75.79,96.44,2.00,,0.80,,,,,
160,100.00,1.50,4.00,2.50,4.00,2.00,13.00,1.058,,119.96,104.26,2.00,,1.01,,,,,
161,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.066,,8.78,92.31,1.00,,4.12,,,,,
162,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.132,,50.27,65.01,1.00,,1.51,,,,,
163,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.264,,209.12,50.92,1.00,,7.74,,,,,
164,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.529,,75.07,90.28,2.00,,1.09,,,,,
165,100.00,1.50,4.00,2.50,4.00,2.00,16.00,1.058,,135.72,93.37,2.00,,1.01,,,,,
166,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.066,,8.23,89.05,1.00,,2.57,,,,,
167,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.132,,59.10,58.16,1.00,,2.52,,,,,
168,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.264,,218.60,47.38,1.00,,10.78,,,,,
169,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.529,,77.76,84.26,2.00,,0.61,,,,,
170,100.00,1.50,4.00,2.50,4.00,2.00,19.00,1.058,,145.78,86.09,2.00,,1.11,,,,,
