Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
175,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.264,132.89,129.23,2.00,,,,,,,,,,
176,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.264,47.17,128.64,2.00,,,,,,,,,,
177,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.264,55.37,128.06,2.00,,,,,,,,,,
178,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.529,81.70,127.77,2.00,,,,,,,,,,
179,100.00,2.50,6.00,1.00,2.50,3.00,19.00,1.058,161.94,127.40,2.00,,,,,,,,,,
180,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.132,88.83,126.96,2.00,,,,,,,,,,
181,125.00,1.50,5.00,1.00,3.00,4.00,13.00,1.058,238.26,126.78,2.00,,,,,,,,,,
182,100.00,2.00,5.00,3.00,2.00,2.50,13.00,1.058,210.12,126.45,2.00,,,,,,,,,,
183,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.264,179.93,126.43,2.00,,,,,,,,,,
184,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.132,48.65,126.34,2.00,,,,,,,,,,
185,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.529,69.29,125.71,2.00,,,,,,,,,,
186,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.529,172.26,125.31,2.00,,,,,,,,,,
187,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.264,43.42,125.20,2.00,,,,,,,,,,
188,125.00,3.00,3.00,2.50,2.00,3.00,19.00,1.058,400.53,125.14,2.00,,,,,,,,,,
189,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.264,24.64,124.74,2.00,,,,,,,,,,
190,150.00,1.00,5.00,1.50,4.00,3.00,16.00,1.058,117.17,124.05,2.00,,,,,,,,,,
191,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.264,122.65,123.85,2.00,,,,,,,,,,
192,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.529,207.83,123.60,2.00,,,,,,,,,,
193,125.00,2.50,2.00,2.00,4.00,2.50,13.00,1.058,220.58,123.44,2.00,,,,,,,,,,
194,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.264,73.94,123.15,2.00,,,,,,,,,,
195,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.529,144.44,123.14,2.00,,,,,,,,,,
196,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.529,390.57,123.02,2.00,,,,,,,,,,
197,125.00,2.00,6.00,1.50,3.50,2.00,19.00,1.058,121.40,122.19,2.00,,,,,,,,,,
198,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.529,93.12,121.60,2.00,,,,,,,,,,
199,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.264,110.36,121.15,2.00,,,,,,,,,,
200,125.00,1.50,5.00,1.00,3.00,4.00,16.00,1.058,222.58,121.02,2.00,,,,,,,,,,
