Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
187,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.132192,208.33,59.17,1,,,,,,,,
188,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.264384,64.86,109.99,2,,,,,,,,
189,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.528768,138.91,107.51,2,,,,,,,,
190,100.00,2.00,5.00,3.00,2.00,2.50,16.00,1.057536,219.93,116.22,2,,,,,,,,
191,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.066096,97.97,57.03,1,,,,,,,,
192,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.132192,217.16,55.11,1,,,,,,,,
193,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.264384,72.87,99.91,2,,,,,,,,
194,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.528768,122.62,105.83,2,,,,,,,,
195,100.00,2.00,5.00,3.00,2.00,2.50,19.00,1.057536,239.05,106.74,2,,,,,,,,
196,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.066096,88.47,56.18,1,,,,,,,,
197,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.132192,306.76,46.77,1,,,,,,,,
198,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.264384,79.38,92.47,2,,,,,,,,
199,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.528768,161.07,92.03,2,,,,,,,,
200,100.00,2.00,5.00,3.00,2.00,2.50,22.00,1.057536,235.66,102.13,2,,,,,,,,
201,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.066096,38.80,100.82,1,,,,,,,,
202,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.132192,83.39,98.44,1,,,,,,,,
203,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.264384,32.03,170.61,2,,,,,,,,
204,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.528768,78.84,159.21,2,,,,,,,,
205,100.00,2.50,6.00,1.00,2.50,3.00,10.00,1.057536,131.53,169.13,2,,,,,,,,
206,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.066096,38.90,92.30,1,,,,,,,,
207,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.132192,83.89,90.01,1,,,,,,,,
208,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.264384,32.50,155.57,2,,,,,,,,
209,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.528768,81.76,144.12,2,,,,,,,,
210,100.00,2.50,6.00,1.00,2.50,3.00,13.00,1.057536,148.49,148.82,2,,,,,,,,
