Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,Rate,Size,regime,Monodispersity
439,125,2.5,2.0,2.0,4.0,2.5,13.0,0.264,97.39,102.12,1,1.62
440,125,2.5,2.0,2.0,4.0,2.5,22.0,0.066,14.4,102.09,1,2.3
441,100,2.81,2.0,1.5,2.99,3.58,8.0,0.05,38.36,102.06,1,1.22
442,75,1.0,2.0,1.0,2.0,2.0,2.0,0.066,39.04,102.0,1,1.01
448,125,2.0,6.0,1.5,3.5,2.0,16.0,0.066,16.02,100.85,1,5.42
449,100,2.5,6.0,1.0,2.5,3.0,10.0,0.066,38.8,100.82,1,5.38
450,75,2.5,5.0,2.5,3.5,3.5,13.0,0.033,6.82,100.75,1,2.05
451,125,2.0,6.0,1.5,3.5,2.0,19.0,0.132,27.13,100.68,1,3.61
452,125,1.0,4.0,3.0,2.5,3.5,6.0,0.066,46.58,100.29,1,1.23
458,175,1.5,2.0,3.0,3.5,3.0,16.0,0.264,131.81,99.67,1,7.36
465,75,1.5,3.0,1.5,2.5,2.5,6.0,0.033,9.93,99.27,1,1.96
466,125,2.5,2.0,2.0,4.0,2.5,13.0,0.132,53.45,99.0,1,6.91
468,175,1.0,5.96,2.5,3.02,2.49,8.0,0.1,68.81,98.57,1,1.3
469,100,2.5,6.0,1.0,2.5,3.0,10.0,0.132,83.39,98.44,1,4.64
472,75,2.5,5.0,2.5,3.5,3.5,6.0,0.066,31.95,98.15,1,1.19
474,175,1.5,2.0,3.0,3.5,3.0,13.0,0.264,173.27,97.5,1,1.88
475,150,2.0,2.0,2.5,2.5,4.0,19.0,0.066,51.75,97.42,1,4.06
477,100,3.0,2.0,1.5,3.0,3.5,10.0,0.066,49.33,97.06,1,2.23
480,75,2.0,4.0,2.0,3.0,3.0,6.0,0.066,27.68,96.47,1,2.73
482,150,2.5,3.0,3.0,3.0,2.0,22.0,0.066,28.01,96.42,1,2.23
484,175,1.5,2.0,3.0,3.5,3.0,16.0,0.132,73.85,95.96,1,7.69
485,100,1.5,4.0,2.5,4.0,2.0,13.0,0.066,9.64,95.88,1,1.42
486,150,2.5,3.0,3.0,3.0,2.0,19.0,0.066,33.04,95.82,1,1.53
487,125,1.5,5.0,1.0,3.0,4.0,10.0,0.066,44.91,95.78,1,1.07
488,125,2.0,6.0,1.5,3.5,2.0,19.0,0.066,15.8,95.69,1,4.53
489,75,1.5,3.0,1.5,2.5,2.5,10.0,0.033,6.68,95.56,1,2.61
490,100,2.5,6.0,1.0,2.5,3.0,19.0,0.066,24.07,95.45,1,1.76
491,125,2.0,6.0,1.5,3.5,2.0,10.0,0.066,30.38,95.31,1,2.37
492,125,3.0,3.0,2.5,2.0,3.0,22.0,0.033,24.47,95.3,1,3.33
494,100,2.81,2.0,1.5,2.99,3.58,8.0,0.1,95.43,94.9,1,0.7
496,125,2.5,2.0,2.0,4.0,2.5,16.0,0.132,49.39,94.85,1,3.89
497,75,3.0,6.0,3.0,4.0,4.0,19.0,0.033,6.58,94.78,1,1.77
500,125,3.0,3.0,2.5,2.0,3.0,19.0,0.066,58.07,94.53,1,7.37
501,150,2.5,3.0,3.0,3.0,2.0,22.0,0.132,59.65,94.42,1,7.42
503,175,1.0,6.0,2.5,3.0,2.5,13.0,0.066,32.43,94.2,1,2.99
505,175,1.0,5.96,2.5,3.02,2.49,8.0,0.15,118.63,94.1,1,2.21
506,100,3.0,2.0,1.5,3.0,3.5,19.0,0.033,14.3,93.99,1,3.09
507,150,2.0,2.0,2.5,2.5,4.0,16.0,0.066,68.46,93.97,1,4.1
508,150,2.5,3.0,3.0,3.0,2.0,19.0,0.132,70.38,93.83,1,2.72
509,150,2.0,2.0,2.5,2.5,4.0,22.0,0.033,25.03,93.8,1,1.64
511,150,2.0,2.0,2.5,2.5,4.0,13.0,0.033,42.6,93.63,1,7.77
514,150,1.0,5.0,1.5,4.0,3.0,10.0,0.066,27.44,93.42,1,1.75
