Experimental outputs:13.4297520661,51.9507415467
Desired outputs:5.0,25.0
orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size,cost_function
88.9937376904028,0.8571850237741945,1.7461855540077882,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.179611,43.76992,0.4903033512351692
88.9937376904028,0.850044274962904,1.7461855540077882,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.26628,43.69669,0.48848294470686515
88.9937376904028,0.850044274962904,1.732084751452665,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.250099,43.654625,0.48722906640927643
88.9937376904028,0.850044274962904,1.7179839488975421,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.233912,43.612553,0.48597459388479525
88.9937376904028,0.850044274962904,1.7038831463424193,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.217716,43.57048,0.48471960433146954
88.9937376904028,0.850044274962904,1.7038831463424193,1.0,2.0,2.0,25.967189609752182,0.003838610206882531,1,14.250284,43.463142,0.48351710464187214
89.35255147733619,0.850044274962904,1.7038831463424193,1.0,2.0,2.0,25.967189609752182,0.003838610206882531,1,14.188908,43.406357,0.4820991830803937
89.35255147733619,0.850044274962904,1.6897823437872965,1.0,2.0,2.0,25.967189609752182,0.003838610206882531,1,14.172724,43.329082,0.48049925353512835
89.35255147733619,0.8429035261516138,1.6897823437872965,1.0,2.0,2.0,25.967189609752182,0.003838610206882531,1,14.259387,43.239353,0.4790151541458344
89.35255147733619,0.8429035261516138,1.6897823437872965,1.0,2.0,1.9930676482676786,25.967189609752182,0.003838610206882531,1,14.139983,43.285084,0.47775995980322494
89.35255147733619,0.8429035261516138,1.6756815412321737,1.0,2.0,1.9930676482676786,25.967189609752182,0.003838610206882531,1,14.123789,43.243015,0.4768964006667683
89.35255147733619,0.8429035261516138,1.6756815412321737,1.0,2.0,1.9930676482676786,26.02080028015424,0.003838610206882531,1,14.15635,43.163723,0.47590138197669973
89.35255147733619,0.8429035261516138,1.6615807386770505,1.0,2.0,1.9930676482676786,26.02080028015424,0.003838610206882531,1,14.14016,43.093605,0.47404751820896984
89.35255147733619,0.8429035261516138,1.6474799361219277,1.0,2.0,1.9930676482676786,26.02080028015424,0.003838610206882531,1,14.123979,43.051537,0.4727916219226147
89.35255147733619,0.8429035261516138,1.6333791335668049,1.0,2.0,1.9930676482676786,26.02080028015424,0.003838610206882531,1,14.107779,43.009468,0.4715978435469256
89.35255147733619,0.8429035261516138,1.6333791335668049,1.0,2.0,1.9930676482676786,26.074410950556295,0.003838610206882531,1,14.140349,42.903843,0.47037096586898475
89.35255147733619,0.8429035261516138,1.619278331011682,1.0,2.0,1.9930676482676786,26.074410950556295,0.003838610206882531,1,14.12416,42.86006,0.46907850225963965
89.35255147733619,0.8429035261516138,1.6051775284565593,1.0,2.0,1.9930676482676786,26.074410950556295,0.003838610206882531,1,14.107982,42.817978,0.46782217645678503
89.35255147733619,0.8429035261516138,1.591076725901436,1.0,2.0,1.9930676482676786,26.074410950556295,0.003838610206882531,1,14.091788,42.775913,0.4665656069335966
89.35255147733619,0.8429035261516138,1.591076725901436,1.0,2.0,1.9930676482676786,26.12802162095835,0.003838610206882531,1,14.124355,42.668575,0.46536445212255695
89.35255147733619,0.8429035261516138,1.5769759233463132,1.0,2.0,1.9930676482676786,26.12802162095835,0.003838610206882531,1,14.108163,42.62651,0.46410835854609045
89.35255147733619,0.8429035261516138,1.5628751207911904,1.0,2.0,1.9930676482676786,26.12802162095835,0.003838610206882531,1,14.0919695,42.58444,0.4628517694458799
89.7113652642696,0.8429035261516138,1.5628751207911904,1.0,2.0,1.9930676482676786,26.12802162095835,0.003838610206882531,1,14.0306015,42.48708,0.4613884259499218
